"No"	"Study_ID"	"Sample_No"	"Sample_NoR"	"Reference"	"Publication_Year"	"Publication_Type"	"Design_for_Effect_Size"	"Effect_Size_Design_Code"	"Study_Design_Code"	"Experiment_Dummy"	"PrePost_within_Experiment_Dummy"	"Treatment_PrePost_Dummy"	"Control_PrePost_Dummy"	"Control_Random_Assignment_Dummy"	"Pharmacologic_vs._Psychosocial_intervention"	"Intervention_Type_Code"	"Clinical_vs._Nonclinical"	"Sample_Type_Code"	"Intervention_Type"	"Intervention_Type_recode"	"Ongoing_Patient_Dummy"	"Pharmacological_Intervention_Dummy"	"CognitiveBehavioral_Therapy_Dummy"	"SupportiveHumanistic_Therapy_Dummy"	"Psychoanalytic_Therapy_Dummy"	"Hospitalization_NOS_Dummy"	"Mixed_Interventionn_Dummy"	"Other_Dummy"	"Client_mean_age"	"Sample_size"	"Male_N"	"Female_N"	"FemaleP"	"Overall_N"	"Treatment_N"	"Control_N"	"Full_Sample_Dummy"	"Longitudinal_Study_Dummy"	"Full_with_different_Followup_length"	"ExperimentControl_PrePost_Subsample_different_length_not_included"	"Subsample_responders"	"Subsample_nonresponders"	"Notes_on_Sample"	"Duration_of_intervention_weeks"	"Duration_of_Intervention"	"Followup_time"	"Followup_time_code"	"Long_term_followup"	"Personality_measure_used"	"Personality_domain_assessed"	"Direction"	"Direction_sign"	"N"	"E"	"O"	"A"	"C"	"Total_Scale"	"Client_type"	"Disorder_type"	"Disorder_Type_code"	"depression_dummy"	"anxiety_dummy"	"personaliity_disorder_dummy"	"eating_disorder_dummy"	"substance_use_dummy"	"mixed_disorders_dummy"	"other_dummy"	"Pretest_Control_Mean"	"Pretest_SD"	"Posttest_Treatment_Mean"	"Posttest_SD"	"Effect_Size_Cohens_d"	"Effect_Size_correct_direction"	"Effect_Size_recomputed"	"Effect_Size_recomputed_correct_direction"	"pvalue"	"Reliability_of_Criterion"	"Sample_SD_of_criterion"	"Population_SD_of_criterion"	"d_to_r"	"corrected_r"	"Corrected_Effect_Size_d"	"Notes"
"1567"	1614	143	NA	NA	"Abbass, Sheldon, Gyra, & Kalpin (2008)"	2008	"journal article"	"experimental"	1	1	1	0	0	0	0	"Psycho-social"	"1"	"clinical"	2	"intensive short-term dynamic psychotherapy (ISTDP)"	"mixed"	1	0	0	0	0	0	1	0	"40.299999999999997"	"14 in ISTDP, 13 in control"	"11"	"16"	59.3	27	14	13	NA	NA	NA	NA	NA	NA	"ISTDP vs. control"	"no set termination date"	NA	"immediate after"	0	0	"IIP"	"IIP score"	"-"	-1	1	0	0	0	0	1	NA	"Personality disorders"	3	0	0	1	0	0	0	0	"1.1100000000000001"	"0.56999999999999995"	"0.67"	"0.66"	NA	NA	-0.739382679664565	0.739382679664565	NA	NA	NA	NA	NA	NA	NA	NA
"1568"	1615	143	239	235	"Abbass, Sheldon, Gyra, & Kalpin (2008)"	2008	"journal article"	"pre-post test"	2	1	0	1	1	0	0	"Psycho-social"	"1"	"clinical"	2	"intensive short-term dynamic psychotherapy (ISTDP)"	"mixed"	1	0	0	0	0	0	1	0	"40.299999999999997"	"27"	"11"	"16"	59.3	27	27	27	NA	NA	NA	NA	NA	NA	"all patients received ISTDP"	"no set termination date"	NA	"immediate after"	0	0	"IIP"	"IIP score"	"-"	-1	1	0	0	0	0	1	"outpatients"	"Personality disorders"	3	0	0	1	0	0	0	0	"1.42"	"0.62"	"0.64"	"0.51"	NA	NA	-1.25806451612903	1.25806451612903	"<0.001"	NA	NA	NA	NA	NA	NA	NA
"1569"	1616	143	239	235	"Abbass, Sheldon, Gyra, & Kalpin (2008)"	2008	"journal article"	"pre-post test"	2	1	0	1	1	0	0	"Psycho-social"	"1"	"clinical"	2	"intensive short-term dynamic psychotherapy (ISTDP)"	"mixed"	1	0	0	0	0	0	1	0	"40.299999999999997"	"27"	"11"	"16"	59.3	27	27	27	NA	NA	NA	NA	NA	NA	"all patients received ISTDP"	"no set termination date"	NA	"2.1 years"	3	1	"IIP"	"IIP score"	"-"	-1	1	0	0	0	0	1	"outpatients"	"Personality disorders"	3	0	0	1	0	0	0	0	"1.42"	"0.62"	"0.64"	"0.52"	NA	NA	-1.25806451612903	1.25806451612903	"<0.001"	NA	NA	NA	NA	NA	NA	NA
"1570"	1617	143	240	236	"Abbass, Sheldon, Gyra, & Kalpin (2008)"	2008	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"clinical"	2	"control"	"control"	1	0	0	0	0	0	0	0	"38.200000000000003"	"13"	"3"	"10"	76.9	13	13	13	NA	NA	NA	NA	NA	NA	"patients in control group"	"no set termination date"	NA	"immediate after"	0	0	"IIP"	"IIP score"	"-"	-1	1	0	0	0	0	1	NA	"Personality disorders"	3	0	0	1	0	0	0	0	"1.28"	"0.71"	"1.1100000000000001"	"0.56999999999999995"	NA	NA	-0.23943661971831	0.23943661971831	NA	NA	NA	NA	NA	NA	NA	NA
"1033"	1045	79	136	137	"Abrams, Yune, Kim, Jeon, Han, Hwang, Sung, Lee, & Lyoo (2004)"	2004	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"28.64"	"39 with major depressive disorder; 37 with dysthymic disorder; 39 depressive personality disroder"	"0"	"115"	100	39	39	39	1	0	1	0	0	0	"patients with depressive personality disorder"	"12 weeks"	12	"immediate after"	0	0	"Temperament and Character Inventory"	"Harm Avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depressive disorder/Dysthymic disorder/Depressive personality disorder"	1	1	0	0	0	0	0	0	"26"	NA	"22.62"	NA	-3.33	3.33	-0.63	0.63	NA	NA	0.862244897959184	NA	0.857265691718154	NA	3.33	"lower bound of 95% confidence intervals-before treatment  24.31       after treatment   21.38                   All data were estimated from figure"
"1034"	1046	79	137	138	"Abrams, Yune, Kim, Jeon, Han, Hwang, Sung, Lee, & Lyoo (2004)"	2004	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"28.64"	"39 with major depressive disorder; 37 with dysthymic disorder; 39 depressive personality disroder"	"0"	"115"	100	37	37	37	1	0	1	0	0	0	"patients with dysthymic disorder"	"12 weeks"	12	"immediate after"	0	0	"Temperament and Character Inventory"	"Harm Avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depressive disorder/Dysthymic disorder/Depressive personality disorder"	1	1	0	0	0	0	0	0	"23.08"	NA	"18.920000000000002"	NA	-5.45	5.45	-0.83	0.83	NA	NA	0.826530612244897	NA	0.938783490773444	NA	5.45	"lower bound of 95% confidence intervals-before treatment  21.46      after treatment    17.54                All data were estimated from figure"
"1035"	1047	79	138	139	"Abrams, Yune, Kim, Jeon, Han, Hwang, Sung, Lee, & Lyoo (2004)"	2004	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"Pharmacologic (antidepressants)"	"2"	"clinical"	2	NA	"pharmacological"	0	1	0	0	0	0	0	0	"28.64"	"39 with major depressive disorder; 37 with dysthymic disorder; 39 depressive personality disroder"	"0"	"115"	100	39	39	39	1	0	1	0	0	0	"patients with major depressive disorder"	"12 weeks"	12	"immediate after"	0	0	"Temperament and Character Inventory"	"Harm Avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depressive disorder/Dysthymic disorder/Depressive personality disorder"	1	1	0	0	0	0	0	0	"24.14"	NA	"19"	NA	-5.66	5.66	-1.12	1.12	NA	NA	0.698979591836735	NA	0.942867253055142	NA	5.66	"lower bound of 95% confidence intervals-before treatment  22.77      after treatment    17.69                   All data were estimated from figure"
"1756"	1803	176	296	292	"Adler (2009)"	2009	"dissertation"	"pre-post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"mostly cognitive-behavioral, integrative, and psychodynamic"	"mixed"	0	0	0	0	0	0	1	0	"35.68"	"47 completed pre-test, 37 completed post-test"	"14"	"33"	70.2	47	47	47	NA	NA	NA	NA	NA	NA	"outpatient sample"	"12 sessions"	14.7	"immediate after"	0	0	"Big Five Inventory (BFI)"	"Neuroticism"	"-"	-1	1	0	0	0	0	0	NA	"outpatient in mental health clinic"	6	0	0	0	0	0	1	0	"3.77"	"0.8"	"3.46"	"0.86"	NA	NA	-0.3875	0.3875	NA	NA	NA	NA	NA	NA	NA	NA
"1757"	1804	176	296	292	"Adler (2009)"	2009	"dissertation"	"pre-post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"mostly cognitive-behavioral, integrative, and psychodynamic"	"mixed"	0	0	0	0	0	0	1	0	"35.68"	"47 completed pre-test, 37 completed post-test"	"14"	"33"	70.2	47	47	47	NA	NA	NA	NA	NA	NA	"outpatient sample"	"12 sessions"	14.7	"immediate after"	0	0	"Big Five Inventory (BFI)"	"Extraversion"	"+"	1	0	1	0	0	0	0	NA	"outpatient in mental health clinic"	6	0	0	0	0	0	1	0	"3.22"	"0.92"	"3.23"	"0.93"	NA	NA	0.0108695652173911	0.0108695652173911	NA	NA	NA	NA	NA	NA	NA	NA
"1758"	1805	176	296	292	"Adler (2009)"	2009	"dissertation"	"pre-post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"mostly cognitive-behavioral, integrative, and psychodynamic"	"mixed"	0	0	0	0	0	0	1	0	"35.68"	"47 completed pre-test, 37 completed post-test"	"14"	"33"	70.2	47	47	47	NA	NA	NA	NA	NA	NA	"outpatient sample"	"12 sessions"	14.7	"immediate after"	0	0	"Big Five Inventory (BFI)"	"Openness"	"+"	1	0	0	1	0	0	0	NA	"outpatient in mental health clinic"	6	0	0	0	0	0	1	0	"3.97"	"0.62"	"3.99"	"0.6"	NA	NA	0.0322580645161291	0.0322580645161291	NA	NA	NA	NA	NA	NA	NA	NA
